"","treatment","age","gender","ethnicity","ethnicity_akan","ethnicity_ewe","ethnicity_ga","higheducation","employed","tmonthlyincome","log_tmonthlyincome","church_daily","church_weekly","pray_multiple","revival","wave","church_name_raw","church_name_grouped","Dchurch1","Dchurch2","Dchurch3","Dchurch4","Dchurch5","Dchurch6","Dchurch7","Dchurch8","Dchurch9","Dchurch10","choice_keep_church","choice_keep_thanks","choice_keep_street","Tinsurance","Tinsuranceinfo","Tnoinsurance"
"14","Insurance",25,"Female","Other",0,0,0,"1","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.473684210526316,0.526315789473684,"1","0","0"
"15","Insurance information",19,"Female","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.578947368421053,0.578947368421053,0.578947368421053,"0","1","0"
"16","Insurance information",21,"Female","Other",0,0,0,"0","0",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.526315789473684,"0","1","0"
"17","Insurance",19,"Female","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.526315789473684,0.789473684210526,"1","0","0"
"18","Insurance information",61,"Female","Other",0,0,0,"0","0",78.7207776893391,4.36590713187888,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,1,1,1,"0","1","0"
"19","Insurance",38,"Female","Other",0,0,0,"0","1",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.631578947368421,0.736842105263158,"1","0","0"
"20","Insurance information",24,"Female","Other",0,0,0,"0","1",110.209088765075,4.70237936850009,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.578947368421053,0.473684210526316,0.368421052631579,"0","1","0"
"21","Insurance information",58,"Female","Other",0,0,0,"0","1",141.69739984081,4.953693796781,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.473684210526316,"0","1","0"
"22","Insurance information",73,"Female","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.473684210526316,0.473684210526316,"0","1","0"
"23","Insurance",32,"Female","Other",0,0,0,"0","0",110.209088765075,4.70237936850009,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.263157894736842,"1","0","0"
"24","Insurance information",39,"Female","Ga Adangbe",0,0,1,"0","1",110.209088765075,4.70237936850009,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.368421052631579,0.368421052631579,"0","1","0"
"25","Insurance information",53,"Female","Other",0,0,0,"0","0",78.7207776893391,4.36590713187888,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,"0","1","0"
"26","Insurance information",44,"Female","Other",0,0,0,"0","1",204.674021992282,5.32141857690631,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.789473684210526,"0","1","0"
"27","Insurance",35,"Male","Ga Adangbe",0,0,1,"1","1",661.254532590448,6.49413883772814,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.789473684210526,"1","0","0"
"28","Insurance",39,"Female","Other",0,0,0,"0","1",346.371421833092,5.84751167280309,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0.789473684210526,"1","0","0"
"29","Insurance information",42,"Female","Other",0,0,0,"0","1",141.69739984081,4.953693796781,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,"0","1","0"
"30","Insurance",30,"Female","Other",0,0,0,"0","1",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.578947368421053,0.684210526315789,"1","0","0"
"31","Insurance",45,"Female","Other",0,0,0,"0","1",299.138955219488,5.70090819861122,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.526315789473684,"1","0","0"
"32","Insurance",55,"Female","Other",0,0,0,"1","1",598.277910438977,6.39405537917116,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.526315789473684,"1","0","0"
"33","Insurance",27,"Female","Ewe",0,1,0,"0","1",204.674021992282,5.32141857690631,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.578947368421053,0.736842105263158,"1","0","0"
"34","Insurance",20,"Female","Other",0,0,0,"0","0",47.2324666136034,3.85508150811289,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,1,1,1,"1","0","0"
"35","Insurance information",49,"Female","Other",0,0,0,"0","1",204.674021992282,5.32141857690631,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.526315789473684,0.526315789473684,"0","1","0"
"36","Insurance",50,"Female","Other",0,0,0,"0","1",78.7207776893391,4.36590713187888,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.894736842105263,0.789473684210526,"1","0","0"
"37","Insurance",23,"Female","Other",0,0,0,"0","0",141.69739984081,4.953693796781,"0","1","0","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,"1","0","0"
"38","Insurance",25,"Female","Other",0,0,0,"0","0",346.371421833092,5.84751167280309,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.421052631578947,"1","0","0"
"39","Insurance",62,"Female","Other",0,0,0,"0","0",299.138955219488,5.70090819861122,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.526315789473684,"1","0","0"
"40","Insurance",35,"Female","Other",0,0,0,"0","1",110.209088765075,4.70237936850009,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.473684210526316,"1","0","0"
"41","Insurance",45,"Female","Other",0,0,0,"0","1",299.138955219488,5.70090819861122,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.263157894736842,0.526315789473684,0.105263157894737,"1","0","0"
"42","Insurance information",63,"Female","Other",0,0,0,"0","1",78.7207776893391,4.36590713187888,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,"0","1","0"
"43","Insurance",24,"Female","Other",0,0,0,"0","0",173.185710916546,5.15436449224315,"0","1","0","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.894736842105263,0.894736842105263,0.894736842105263,"1","0","0"
"44","Insurance information",33,"Female","Other",0,0,0,"0","0",141.69739984081,4.953693796781,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.684210526315789,0.526315789473684,0.473684210526316,"0","1","0"
"45","Insurance",51,"Female","Other",0,0,0,"0","1",267.650644143753,5.58968256350099,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.842105263157895,0.526315789473684,"1","0","0"
"46","Insurance",27,"Female","Other",0,0,0,"0","1",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.631578947368421,0.631578947368421,0.631578947368421,"1","0","0"
"47","Insurance",40,"Male","Other",0,0,0,"0","1",598.277910438977,6.39405537917116,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.842105263157895,"1","0","0"
"48","Insurance information",70,"Female","Other",0,0,0,"0","0",78.7207776893391,4.36590713187888,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.631578947368421,0.789473684210526,0.789473684210526,"0","1","0"
"49","Insurance",27,"Female","Other",0,0,0,"1","1",598.277910438977,6.39405537917116,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.526315789473684,"1","0","0"
"50","Insurance",31,"Female","Other",0,0,0,"1","1",661.254532590448,6.49413883772814,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.631578947368421,0.736842105263158,"1","0","0"
"51","Insurance information",21,"Male","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0.894736842105263,"0","1","0"
"52","Insurance",18,"Female","Other",0,0,0,"0","0",15.7441555378678,2.75646921944478,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.842105263157895,0.473684210526316,0.421052631578947,"1","0","0"
"53","Insurance information",21,"Male","Ga Adangbe",0,0,1,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.842105263157895,0.894736842105263,0.894736842105263,"0","1","0"
"54","Insurance information",20,"Female","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.473684210526316,"0","1","0"
"55","Insurance",58,"Female","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,"1","0","0"
"56","Insurance",20,"Female","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.473684210526316,"1","0","0"
"57","Insurance information",40,"Female","Other",0,0,0,"0","1",47.2324666136034,3.85508150811289,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.894736842105263,"0","1","0"
"58","Insurance information",43,"Male","Other",0,0,0,"1","1",661.254532590448,6.49413883772814,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.473684210526316,0.736842105263158,"0","1","0"
"59","Insurance",32,"Male","Other",0,0,0,"0","1",236.162333068017,5.46451942054699,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.526315789473684,"1","0","0"
"60","Insurance",18,"Male","Other",0,0,0,"0","0",141.69739984081,4.953693796781,"0","1","0","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,"1","0","0"
"61","Insurance information",44,"Female","Other",0,0,0,"0","1",204.674021992282,5.32141857690631,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.894736842105263,0.842105263157895,"0","1","0"
"62","Insurance",18,"Female","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.526315789473684,0.473684210526316,"1","0","0"
"63","Insurance",28,"Female","Other",0,0,0,"0","1",236.162333068017,5.46451942054699,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.263157894736842,"1","0","0"
"64","Insurance",39,"Female","Other",0,0,0,"0","1",661.254532590448,6.49413883772814,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.368421052631579,0.368421052631579,0.263157894736842,"1","0","0"
"65","Insurance information",20,"Female","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.263157894736842,"0","1","0"
"66","Insurance",25,"Female","Other",0,0,0,"0","1",236.162333068017,5.46451942054699,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.842105263157895,0.684210526315789,"1","0","0"
"67","Insurance",31,"Female","Other",0,0,0,"1","1",346.371421833092,5.84751167280309,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.526315789473684,"1","0","0"
"68","Insurance",31,"Female","Other",0,0,0,"0","0",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.526315789473684,"1","0","0"
"69","Insurance information",31,"Female","Other",0,0,0,"0","1",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,"0","1","0"
"70","Insurance",25,"Female","Akan",1,0,0,"0","1",110.209088765075,4.70237936850009,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.526315789473684,"1","0","0"
"71","Insurance information",27,"Male","Other",0,0,0,"1","0",110.209088765075,4.70237936850009,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.789473684210526,"0","1","0"
"72","Insurance information",48,"Female","Other",0,0,0,"0","1",141.69739984081,4.953693796781,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.263157894736842,"0","1","0"
"73","Insurance information",56,"Female","Other",0,0,0,"0","1",661.254532590448,6.49413883772814,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.736842105263158,0.473684210526316,"0","1","0"
"74","Insurance",37,"Male","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.263157894736842,"1","0","0"
"75","Insurance",32,"Female","Other",0,0,0,"0","1",236.162333068017,5.46451942054699,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.526315789473684,"1","0","0"
"76","Insurance",39,"Female","Other",0,0,0,"0","1",47.2324666136034,3.85508150811289,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.789473684210526,0.526315789473684,"1","0","0"
"77","Insurance",44,"Female","Other",0,0,0,"1","1",661.254532590448,6.49413883772814,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.526315789473684,0.473684210526316,"1","0","0"
"78","Insurance information",34,"Male","Other",0,0,0,"1","1",204.674021992282,5.32141857690631,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.263157894736842,0.263157894736842,0.263157894736842,"0","1","0"
"79","Insurance",39,"Female","Other",0,0,0,"0","1",236.162333068017,5.46451942054699,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.526315789473684,"1","0","0"
"80","Insurance information",35,"Female","Other",0,0,0,"0","1",236.162333068017,5.46451942054699,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.421052631578947,0.526315789473684,0.263157894736842,"0","1","0"
"81","Insurance information",25,"Male","Other",0,0,0,"0","0",141.69739984081,4.953693796781,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.526315789473684,0.736842105263158,"0","1","0"
"82","Insurance",38,"Female","Other",0,0,0,"1","1",598.277910438977,6.39405537917116,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,"1","0","0"
"83","Insurance information",75,"Male","Other",0,0,0,"0","0",15.7441555378678,2.75646921944478,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.894736842105263,1,0.894736842105263,"0","1","0"
"84","Insurance",30,"Female","Ga Adangbe",0,0,1,"0","1",346.371421833092,5.84751167280309,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.526315789473684,0.473684210526316,"1","0","0"
"85","Insurance",28,"Female","Other",0,0,0,"0","1",78.7207776893391,4.36590713187888,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.789473684210526,"1","0","0"
"86","Insurance information",60,"Female","Other",0,0,0,"0","0",299.138955219488,5.70090819861122,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.631578947368421,0.526315789473684,0.631578947368421,"0","1","0"
"87","Insurance information",20,"Male","Other",0,0,0,"0","0",0,0,"1","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,1,0.789473684210526,0.736842105263158,"0","1","0"
"88","Insurance",29,"Female","Other",0,0,0,"0","1",141.69739984081,4.953693796781,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.263157894736842,"1","0","0"
"89","Insurance",20,"Female","Other",0,0,0,"0","1",141.69739984081,4.953693796781,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,"1","0","0"
"90","Insurance",24,"Female","Other",0,0,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.210526315789474,"1","0","0"
"91","Insurance",42,"Female","Other",0,0,0,"0","0",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.631578947368421,0.263157894736842,"1","0","0"
"92","Insurance",27,"Female","Akan",1,0,0,"0","1",299.138955219488,5.70090819861122,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,"1","0","0"
"93","Insurance",33,"Female","Other",0,0,0,"1","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,"1","0","0"
"94","Insurance",28,"Male","Other",0,0,0,"0","1",236.162333068017,5.46451942054699,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.526315789473684,"1","0","0"
"95","Insurance",26,"Female","Other",0,0,0,"0","1",78.7207776893391,4.36590713187888,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.736842105263158,0.736842105263158,"1","0","0"
"96","Insurance information",30,"Female","Other",0,0,0,"0","1",204.674021992282,5.32141857690631,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.842105263157895,0.842105263157895,0.842105263157895,"0","1","0"
"97","Insurance information",65,"Male","Other",0,0,0,"0","0",535.301288287506,6.28282974406094,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.368421052631579,0.368421052631579,0.368421052631579,"0","1","0"
"98","Insurance",44,"Female","Other",0,0,0,"0","1",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.473684210526316,"1","0","0"
"99","Insurance",45,"Female","Other",0,0,0,"0","1",110.209088765075,4.70237936850009,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,1,0.473684210526316,"1","0","0"
"100","Insurance information",31,"Female","Other",0,0,0,"0","1",204.674021992282,5.32141857690631,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.526315789473684,"0","1","0"
"101","Insurance",40,"Female","Other",0,0,0,"0","1",299.138955219488,5.70090819861122,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.684210526315789,"1","0","0"
"102","Insurance",26,"Female","Other",0,0,0,"1","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.578947368421053,0.526315789473684,"1","0","0"
"103","Insurance information",64,"Male","Other",0,0,0,"0","1",299.138955219488,5.70090819861122,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.842105263157895,"0","1","0"
"104","Insurance",29,"Male","Other",0,0,0,"0","0",110.209088765075,4.70237936850009,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.263157894736842,0.473684210526316,0.736842105263158,"1","0","0"
"105","Insurance information",25,"Male","Other",0,0,0,"0","1",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.684210526315789,0.736842105263158,0.736842105263158,"0","1","0"
"106","Insurance",29,"Male","Other",0,0,0,"1","1",598.277910438977,6.39405537917116,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.526315789473684,"1","0","0"
"107","Insurance information",45,"Female","Other",0,0,0,"0","1",236.162333068017,5.46451942054699,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.473684210526316,"0","1","0"
"108","Insurance",24,"Male","Other",0,0,0,"0","1",299.138955219488,5.70090819861122,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.473684210526316,"1","0","0"
"109","Insurance information",19,"Female","Ewe",0,1,0,"0","0",0,0,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.526315789473684,0.736842105263158,"0","1","0"
"110","Insurance information",37,"Male","Other",0,0,0,"1","1",236.162333068017,5.46451942054699,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.736842105263158,0.526315789473684,"0","1","0"
"111","Insurance information",39,"Female","Other",0,0,0,"0","0",346.371421833092,5.84751167280309,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.526315789473684,0.473684210526316,"0","1","0"
"112","Insurance",34,"Female","Other",0,0,0,"0","1",173.185710916546,5.15436449224315,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,1,1,1,"1","0","0"
"113","Insurance information",59,"Female","Other",0,0,0,"1","0",661.254532590448,6.49413883772814,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.894736842105263,0.894736842105263,0.894736842105263,"0","1","0"
"114","Insurance",31,"Female","Other",0,0,0,"1","1",661.254532590448,6.49413883772814,"0","1","1","0","2","AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.842105263157895,0.842105263157895,0.842105263157895,"1","0","0"
