"treatment","age","gender","ethnicity","ethnicity_akan","ethnicity_ewe","ethnicity_ga","higheducation","employed","tmonthlyincome","church_daily","church_weekly","pray_multiple","travels_more_than_hour","revival","choice_keep_church","choice_keep_thanks","choice_keep_street","wave","Tinsurance","Tinsuranceinfo","Tnoinsurance","Female","Wave_2"
"Insurance information",61,"Female","Other",0,0,0,"0","0",78.7207776893391,"0","1","1","0","0",1,1,1,"2","0","1","0",1,1
"No insurance",45,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"No insurance",28,"Female","Other",0,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.368421052631579,0.368421052631579,0.368421052631579,"2","0","0","1",1,1
"Insurance",38,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.473684210526316,0.631578947368421,0.736842105263158,"2","1","0","0",1,1
"Insurance information",24,"Female","Other",0,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.578947368421053,0.473684210526316,0.368421052631579,"2","0","1","0",1,1
"Insurance information",58,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","1","0",0.736842105263158,0.736842105263158,0.473684210526316,"2","0","1","0",1,1
"Insurance information",73,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.736842105263158,0.473684210526316,0.473684210526316,"2","0","1","0",1,1
"No insurance",42,"Female","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","0","1",1,1
"Insurance",32,"Female","Other",0,0,0,"0","0",110.209088765075,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.263157894736842,"2","1","0","0",1,1
"No insurance",40,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.526315789473684,"2","0","0","1",1,1
"Insurance information",39,"Female","Ga Adangbe",0,0,1,"0","1",110.209088765075,"0","1","1","0","0",0.473684210526316,0.368421052631579,0.368421052631579,"2","0","1","0",1,1
"Insurance information",53,"Female","Other",0,0,0,"0","0",78.7207776893391,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","1","0",1,1
"Insurance information",44,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.789473684210526,"2","0","1","0",1,1
"No insurance",41,"Female","Other",0,0,0,"0","1",598.277910438977,"0","1","1","0","0",0.421052631578947,0.578947368421053,0.421052631578947,"2","0","0","1",1,1
"No insurance",26,"Male","Other",0,0,0,"1","1",535.301288287506,"0","1","1","1","0",0.210526315789474,0.473684210526316,0.263157894736842,"2","0","0","1",0,1
"Insurance",35,"Male","Ga Adangbe",0,0,1,"1","1",661.254532590448,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.789473684210526,"2","1","0","0",0,1
"Insurance",39,"Female","Other",0,0,0,"0","1",346.371421833092,"0","1","1","1","0",0.947368421052632,0.947368421052632,0.789473684210526,"2","1","0","0",1,1
"Insurance information",42,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","0","1","0",1,1
"No insurance",42,"Male","Other",0,0,0,"1","1",661.254532590448,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.263157894736842,"2","0","0","1",0,1
"No insurance",24,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.631578947368421,0.736842105263158,0.421052631578947,"2","0","0","1",1,1
"No insurance",32,"Female","Other",0,0,0,"1","1",409.348043984563,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.368421052631579,"2","0","0","1",1,1
"Insurance",30,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.526315789473684,0.578947368421053,0.684210526315789,"2","1","0","0",1,1
"No insurance",22,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.631578947368421,0.736842105263158,0.315789473684211,"2","0","0","1",1,1
"Insurance",45,"Female","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.526315789473684,"2","1","0","0",1,1
"Insurance",55,"Female","Other",0,0,0,"1","1",598.277910438977,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","1","0","0",1,1
"Insurance",27,"Female","Ewe",0,1,0,"0","1",204.674021992282,"0","1","1","0","0",0.736842105263158,0.578947368421053,0.736842105263158,"2","1","0","0",1,1
"Insurance",20,"Female","Other",0,0,0,"0","0",47.2324666136034,"0","1","1","0","0",1,1,1,"2","1","0","0",1,1
"Insurance information",49,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.736842105263158,0.526315789473684,0.526315789473684,"2","0","1","0",1,1
"Insurance",50,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","1","0",0.736842105263158,0.894736842105263,0.789473684210526,"2","1","0","0",1,1
"Insurance",23,"Female","Other",0,0,0,"0","0",141.69739984081,"0","1","0","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","1","0","0",1,1
"No insurance",36,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.526315789473684,"2","0","0","1",1,1
"Insurance",25,"Female","Other",0,0,0,"0","0",346.371421833092,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.421052631578947,"2","1","0","0",1,1
"Insurance",62,"Female","Other",0,0,0,"0","0",299.138955219488,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.526315789473684,"2","1","0","0",1,1
"No insurance",61,"Male","Other",0,0,0,"0","0",661.254532590448,"0","1","1","0","0",0.368421052631579,0.368421052631579,0.473684210526316,"2","0","0","1",0,1
"Insurance",35,"Female","Other",0,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","1","0","0",1,1
"No insurance",28,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.526315789473684,"2","0","0","1",1,1
"No insurance",18,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","0","1",1,1
"Insurance",45,"Female","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.263157894736842,0.526315789473684,0.105263157894737,"2","1","0","0",1,1
"No insurance",21,"Male","Other",0,0,0,"0","1",346.371421833092,"0","1","0","0","0",0.736842105263158,0.473684210526316,0.526315789473684,"2","0","0","1",0,1
"Insurance information",63,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","1","0",1,1
"No insurance",53,"Female","Other",0,0,0,"0","0",204.674021992282,"0","1","1","0","0",0.736842105263158,0.842105263157895,0.842105263157895,"2","0","0","1",1,1
"Insurance",24,"Female","Other",0,0,0,"0","0",173.185710916546,"0","1","0","0","0",0.894736842105263,0.894736842105263,0.894736842105263,"2","1","0","0",1,1
"No insurance",32,"Female","Akan",1,0,0,"0","0",78.7207776893391,"0","1","1","0","0",0.526315789473684,0.789473684210526,0.789473684210526,"2","0","0","1",1,1
"Insurance information",33,"Female","Other",0,0,0,"0","0",141.69739984081,"0","1","1","0","0",0.684210526315789,0.526315789473684,0.473684210526316,"2","0","1","0",1,1
"Insurance",51,"Female","Other",0,0,0,"0","1",267.650644143753,"0","1","1","1","0",0.736842105263158,0.842105263157895,0.526315789473684,"2","1","0","0",1,1
"Insurance",27,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.631578947368421,0.631578947368421,0.631578947368421,"2","1","0","0",1,1
"Insurance",40,"Male","Other",0,0,0,"0","1",598.277910438977,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.842105263157895,"2","1","0","0",0,1
"Insurance information",70,"Female","Other",0,0,0,"0","0",78.7207776893391,"0","1","1","0","0",0.631578947368421,0.789473684210526,0.789473684210526,"2","0","1","0",1,1
"Insurance",27,"Female","Other",0,0,0,"1","1",598.277910438977,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","1","0","0",1,1
"Insurance",31,"Female","Other",0,0,0,"1","1",661.254532590448,"0","1","1","0","0",0.736842105263158,0.631578947368421,0.736842105263158,"2","1","0","0",1,1
"Insurance information",21,"Male","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.947368421052632,0.947368421052632,0.894736842105263,"2","0","1","0",0,1
"No insurance",34,"Female","Other",0,0,0,"0","0",204.674021992282,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"Insurance",18,"Female","Other",0,0,0,"0","0",15.7441555378678,"0","1","1","0","0",0.842105263157895,0.473684210526316,0.421052631578947,"2","1","0","0",1,1
"Insurance information",21,"Male","Ga Adangbe",0,0,1,"0","0",0,"0","1","1","0","0",0.842105263157895,0.894736842105263,0.894736842105263,"2","0","1","0",0,1
"No insurance",22,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.526315789473684,"2","0","0","1",1,1
"No insurance",52,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","1","0",0.421052631578947,0.578947368421053,0.421052631578947,"2","0","0","1",1,1
"Insurance information",20,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","1","0",1,1
"Insurance",58,"Female","Other",0,0,0,"0","0",0,"0","1","1","1","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","1","0","0",1,1
"Insurance",20,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.473684210526316,"2","1","0","0",1,1
"No insurance",23,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.526315789473684,0.631578947368421,0.263157894736842,"2","0","0","1",1,1
"Insurance information",40,"Female","Other",0,0,0,"0","1",47.2324666136034,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.894736842105263,"2","0","1","0",1,1
"No insurance",42,"Male","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.210526315789474,"2","0","0","1",0,1
"Insurance information",43,"Male","Other",0,0,0,"1","1",661.254532590448,"0","1","1","0","0",0.736842105263158,0.473684210526316,0.736842105263158,"2","0","1","0",0,1
"No insurance",62,"Female","Other",0,0,0,"1","0",661.254532590448,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.631578947368421,"2","0","0","1",1,1
"Insurance",32,"Male","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.526315789473684,"2","1","0","0",0,1
"Insurance",18,"Male","Other",0,0,0,"0","0",141.69739984081,"0","1","0","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","1","0","0",0,1
"No insurance",45,"Male","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.473684210526316,"2","0","0","1",0,1
"No insurance",25,"Female","Other",0,0,0,"0","0",141.69739984081,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"Insurance information",44,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.736842105263158,0.894736842105263,0.842105263157895,"2","0","1","0",1,1
"No insurance",40,"Female","Other",0,0,0,"0","0",204.674021992282,"0","1","1","0","0",0.736842105263158,0.526315789473684,0.473684210526316,"2","0","0","1",1,1
"Insurance",18,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.473684210526316,"2","1","0","0",1,1
"No insurance",55,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.473684210526316,"2","0","0","1",1,1
"Insurance",28,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.263157894736842,"2","1","0","0",1,1
"Insurance",39,"Female","Other",0,0,0,"0","1",661.254532590448,"0","1","1","0","0",0.368421052631579,0.368421052631579,0.263157894736842,"2","1","0","0",1,1
"Insurance information",20,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.263157894736842,"2","0","1","0",1,1
"Insurance",25,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.736842105263158,0.842105263157895,0.684210526315789,"2","1","0","0",1,1
"Insurance",31,"Female","Other",0,0,0,"1","1",346.371421833092,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.526315789473684,"2","1","0","0",1,1
"Insurance",31,"Female","Other",0,0,0,"0","0",173.185710916546,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.526315789473684,"2","1","0","0",1,1
"Insurance information",31,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","0","1","0",1,1
"Insurance",25,"Female","Akan",1,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","1","0","0",1,1
"No insurance",34,"Female","Other",0,0,0,"0","0",110.209088765075,"0","1","1","1","0",0.789473684210526,0.789473684210526,0.789473684210526,"2","0","0","1",1,1
"Insurance information",27,"Male","Other",0,0,0,"1","0",110.209088765075,"0","1","1","0","0",0.789473684210526,0.789473684210526,0.789473684210526,"2","0","1","0",0,1
"Insurance information",48,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.263157894736842,"2","0","1","0",1,1
"Insurance information",56,"Female","Other",0,0,0,"0","1",661.254532590448,"0","1","1","0","0",0.473684210526316,0.736842105263158,0.473684210526316,"2","0","1","0",1,1
"Insurance",37,"Male","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.263157894736842,"2","1","0","0",0,1
"Insurance",32,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.526315789473684,"2","1","0","0",1,1
"Insurance",39,"Female","Other",0,0,0,"0","1",47.2324666136034,"0","1","1","0","0",0.736842105263158,0.789473684210526,0.526315789473684,"2","1","0","0",1,1
"Insurance",44,"Female","Other",0,0,0,"1","1",661.254532590448,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.473684210526316,"2","1","0","0",1,1
"No insurance",45,"Female","Other",0,0,0,"0","1",299.138955219488,"0","1","0","0","0",0.631578947368421,0.631578947368421,0.631578947368421,"2","0","0","1",1,1
"No insurance",38,"Female","Other",0,0,0,"0","1",346.371421833092,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","0","1",1,1
"Insurance information",34,"Male","Other",0,0,0,"1","1",204.674021992282,"0","1","1","0","0",0.263157894736842,0.263157894736842,0.263157894736842,"2","0","1","0",0,1
"Insurance",39,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.789473684210526,0.789473684210526,0.526315789473684,"2","1","0","0",1,1
"Insurance information",35,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.421052631578947,0.526315789473684,0.263157894736842,"2","0","1","0",1,1
"No insurance",25,"Female","Other",0,0,0,"0","0",141.69739984081,"0","1","1","0","0",0.526315789473684,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"No insurance",46,"Male","Ewe",0,1,0,"1","1",661.254532590448,"0","1","1","0","0",0.263157894736842,0.473684210526316,0.263157894736842,"2","0","0","1",0,1
"Insurance information",25,"Male","Other",0,0,0,"0","0",141.69739984081,"0","1","1","0","0",0.736842105263158,0.526315789473684,0.736842105263158,"2","0","1","0",0,1
"No insurance",52,"Female","Other",0,0,0,"0","1",661.254532590448,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","0","0","1",1,1
"Insurance",38,"Female","Other",0,0,0,"1","1",598.277910438977,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","1","0","0",1,1
"Insurance information",75,"Male","Other",0,0,0,"0","0",15.7441555378678,"0","1","1","0","0",0.894736842105263,1,0.894736842105263,"2","0","1","0",0,1
"No insurance",25,"Female","Other",0,0,0,"0","0",110.209088765075,"0","1","1","0","0",0.736842105263158,0.894736842105263,0.736842105263158,"2","0","0","1",1,1
"Insurance",30,"Female","Ga Adangbe",0,0,1,"0","1",346.371421833092,"0","1","1","0","0",0.473684210526316,0.526315789473684,0.473684210526316,"2","1","0","0",1,1
"Insurance",28,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","0","0",0.789473684210526,0.789473684210526,0.789473684210526,"2","1","0","0",1,1
"Insurance information",60,"Female","Other",0,0,0,"0","0",299.138955219488,"0","1","1","0","0",0.631578947368421,0.526315789473684,0.631578947368421,"2","0","1","0",1,1
"Insurance information",20,"Male","Other",0,0,0,"0","0",0,"1","1","1","0","0",1,0.789473684210526,0.736842105263158,"2","0","1","0",0,1
"Insurance",29,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.263157894736842,"2","1","0","0",1,1
"Insurance",20,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","1","0","0",1,1
"Insurance",24,"Female","Other",0,0,0,"0","0",0,"0","1","1","1","0",0.473684210526316,0.473684210526316,0.210526315789474,"2","1","0","0",1,1
"No insurance",32,"Female","Other",0,0,0,"0","0",141.69739984081,"0","1","1","0","0",0.578947368421053,0.894736842105263,0.894736842105263,"2","0","0","1",1,1
"Insurance",42,"Female","Other",0,0,0,"0","0",173.185710916546,"0","1","1","0","0",0.473684210526316,0.631578947368421,0.263157894736842,"2","1","0","0",1,1
"Insurance",27,"Female","Akan",1,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","1","0","0",1,1
"Insurance",33,"Female","Other",0,0,0,"1","0",0,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","1","0","0",1,1
"No insurance",42,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.526315789473684,0.736842105263158,0.473684210526316,"2","0","0","1",1,1
"No insurance",25,"Female","Other",0,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.736842105263158,0.789473684210526,0.736842105263158,"2","0","0","1",1,1
"Insurance",28,"Male","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.526315789473684,0.473684210526316,0.526315789473684,"2","1","0","0",0,1
"No insurance",33,"Male","Other",0,0,0,"1","1",598.277910438977,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","0","0","1",0,1
"No insurance",30,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.736842105263158,0.578947368421053,0.526315789473684,"2","0","0","1",1,1
"No insurance",37,"Female","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.736842105263158,0.789473684210526,0.526315789473684,"2","0","0","1",1,1
"Insurance",26,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","0","0",0.473684210526316,0.736842105263158,0.736842105263158,"2","1","0","0",1,1
"Insurance information",30,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","0","0",0.842105263157895,0.842105263157895,0.842105263157895,"2","0","1","0",1,1
"No insurance",21,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","0","0","0",0.526315789473684,0.631578947368421,0.631578947368421,"2","0","0","1",1,1
"No insurance",19,"Male","Other",0,0,0,"0","0",0,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","0","0","1",0,1
"Insurance information",65,"Male","Other",0,0,0,"0","0",535.301288287506,"0","1","1","0","0",0.368421052631579,0.368421052631579,0.368421052631579,"2","0","1","0",0,1
"Insurance",44,"Female","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","1","0","0",1,1
"Insurance",45,"Female","Other",0,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.526315789473684,1,0.473684210526316,"2","1","0","0",1,1
"No insurance",45,"Female","Other",0,0,0,"0","1",236.162333068017,"0","1","1","0","0",0.736842105263158,0.473684210526316,0.526315789473684,"2","0","0","1",1,1
"No insurance",39,"Female","Other",0,0,0,"0","1",110.209088765075,"0","1","1","0","0",0.578947368421053,0.578947368421053,0.421052631578947,"2","0","0","1",1,1
"No insurance",36,"Female","Other",0,0,0,"0","1",267.650644143753,"0","1","1","0","0",0.526315789473684,0.736842105263158,0.263157894736842,"2","0","0","1",1,1
"No insurance",33,"Male","Other",0,0,0,"0","0",267.650644143753,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.473684210526316,"2","0","0","1",0,1
"Insurance information",31,"Female","Other",0,0,0,"0","1",204.674021992282,"0","1","1","1","0",0.526315789473684,0.526315789473684,0.526315789473684,"2","0","1","0",1,1
"Insurance",40,"Female","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.473684210526316,0.473684210526316,0.684210526315789,"2","1","0","0",1,1
"No insurance",36,"Female","Other",0,0,0,"0","1",141.69739984081,"0","1","1","0","0",0.894736842105263,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"No insurance",32,"Female","Other",0,0,0,"0","1",661.254532590448,"0","1","1","0","0",0.736842105263158,0.736842105263158,0.736842105263158,"2","0","0","1",1,1
"No insurance",32,"Female","Other",0,0,0,"0","1",78.7207776893391,"0","1","1","1","0",0.789473684210526,0.736842105263158,0.789473684210526,"2","0","0","1",1,1
"Insurance",26,"Female","Other",0,0,0,"1","0",0,"0","1","1","0","0",0.526315789473684,0.578947368421053,0.526315789473684,"2","1","0","0",1,1
"No insurance",55,"Female","Other",0,0,0,"0","0",47.2324666136034,"0","1","1","0","0",0.526315789473684,0.526315789473684,0.473684210526316,"2","0","0","1",1,1
"No insurance",48,"Female","Other",0,0,0,"0","1",267.650644143753,"0","1","1","0","0",0.526315789473684,0.789473684210526,0.789473684210526,"2","0","0","1",1,1
"Insurance information",64,"Male","Other",0,0,0,"0","1",299.138955219488,"0","1","1","0","0",0.789473684210526,0.789473684210526,0.842105263157895,"2","0","1","0",0,1
"Insurance",29,"Male","Other",0,0,0,"0","0",110.209088765075,"0","1","1","0","0",0.263157894736842,0.473684210526316,0.736842105263158,"2","1","0","0",0,1
"Insurance information",25,"Male","Other",0,0,0,"0","1",173.185710916546,"0","1","1","0","0",0.684210526315789,0.736842105263158,0.736842105263158,"2","0","1","0",0,1
