"","X","treatment","age","gender","ethnicity","ethnicity_akan","ethnicity_ewe","ethnicity_ga","higheducation","employed","tmonthlyincome","log_tmonthlyincome","church_daily","church_weekly","pray_multiple","revival","wave","church_name_raw","church_name_grouped","Dchurch1","Dchurch2","Dchurch3","Dchurch4","Dchurch5","Dchurch6","Dchurch7","Dchurch8","Dchurch9","Dchurch10","choice_keep_church","choice_keep_thanks","choice_keep_street","Tinsurance","Tinsuranceinfo","Tnoinsurance","gender_fem_dummy","wave_2_dummy"
"33",33,"Insurance",27,"Female","Ewe",0,1,0,0,1,204.674021992282,5.32141857690631,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.578947368421053,0.736842105263158,1,0,0,1,1
"34",34,"Insurance",20,"Female","Other",0,0,0,0,0,47.2324666136034,3.85508150811289,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
"35",35,"Insurance information",49,"Female","Other",0,0,0,0,1,204.674021992282,5.32141857690631,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.526315789473684,0.526315789473684,0,1,0,1,1
"36",36,"Insurance",50,"Female","Other",0,0,0,0,1,78.7207776893391,4.36590713187888,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.894736842105263,0.789473684210526,1,0,0,1,1
"37",37,"Insurance",23,"Female","Other",0,0,0,0,0,141.69739984081,4.953693796781,0,1,0,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,1,0,0,1,1
"38",38,"Insurance",25,"Female","Other",0,0,0,0,0,346.371421833092,5.84751167280309,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.421052631578947,1,0,0,1,1
"39",39,"Insurance",62,"Female","Other",0,0,0,0,0,299.138955219488,5.70090819861122,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.526315789473684,1,0,0,1,1
"40",40,"Insurance",35,"Female","Other",0,0,0,0,1,110.209088765075,4.70237936850009,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.473684210526316,1,0,0,1,1
"41",41,"Insurance",45,"Female","Other",0,0,0,0,1,299.138955219488,5.70090819861122,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.263157894736842,0.526315789473684,0.105263157894737,1,0,0,1,1
"42",42,"Insurance information",63,"Female","Other",0,0,0,0,1,78.7207776893391,4.36590713187888,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,0,1,0,1,1
"43",43,"Insurance",24,"Female","Other",0,0,0,0,0,173.185710916546,5.15436449224315,0,1,0,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.894736842105263,0.894736842105263,0.894736842105263,1,0,0,1,1
"44",44,"Insurance information",33,"Female","Other",0,0,0,0,0,141.69739984081,4.953693796781,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.684210526315789,0.526315789473684,0.473684210526316,0,1,0,1,1
"45",45,"Insurance",51,"Female","Other",0,0,0,0,1,267.650644143753,5.58968256350099,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.842105263157895,0.526315789473684,1,0,0,1,1
"46",46,"Insurance",27,"Female","Other",0,0,0,0,1,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.631578947368421,0.631578947368421,0.631578947368421,1,0,0,1,1
"47",47,"Insurance",40,"Male","Other",0,0,0,0,1,598.277910438977,6.39405537917116,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.842105263157895,1,0,0,0,1
"48",48,"Insurance information",70,"Female","Other",0,0,0,0,0,78.7207776893391,4.36590713187888,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.631578947368421,0.789473684210526,0.789473684210526,0,1,0,1,1
"49",49,"Insurance",27,"Female","Other",0,0,0,1,1,598.277910438977,6.39405537917116,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.526315789473684,1,0,0,1,1
"50",50,"Insurance",31,"Female","Other",0,0,0,1,1,661.254532590448,6.49413883772814,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.631578947368421,0.736842105263158,1,0,0,1,1
"51",51,"Insurance information",21,"Male","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0.894736842105263,0,1,0,0,1
"52",52,"Insurance",18,"Female","Other",0,0,0,0,0,15.7441555378678,2.75646921944478,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.842105263157895,0.473684210526316,0.421052631578947,1,0,0,1,1
"53",53,"Insurance information",21,"Male","Ga Adangbe",0,0,1,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.842105263157895,0.894736842105263,0.894736842105263,0,1,0,0,1
"54",54,"Insurance information",20,"Female","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.473684210526316,0,1,0,1,1
"55",55,"Insurance",58,"Female","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,1,0,0,1,1
"56",56,"Insurance",20,"Female","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.473684210526316,1,0,0,1,1
"57",57,"Insurance information",40,"Female","Other",0,0,0,0,1,47.2324666136034,3.85508150811289,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.894736842105263,0,1,0,1,1
"58",58,"Insurance information",43,"Male","Other",0,0,0,1,1,661.254532590448,6.49413883772814,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.473684210526316,0.736842105263158,0,1,0,0,1
"59",59,"Insurance",32,"Male","Other",0,0,0,0,1,236.162333068017,5.46451942054699,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.526315789473684,1,0,0,0,1
"60",60,"Insurance",18,"Male","Other",0,0,0,0,0,141.69739984081,4.953693796781,0,1,0,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,1,0,0,0,1
"61",61,"Insurance information",44,"Female","Other",0,0,0,0,1,204.674021992282,5.32141857690631,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.894736842105263,0.842105263157895,0,1,0,1,1
"62",62,"Insurance",18,"Female","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.526315789473684,0.473684210526316,1,0,0,1,1
"63",63,"Insurance",28,"Female","Other",0,0,0,0,1,236.162333068017,5.46451942054699,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.263157894736842,1,0,0,1,1
"64",64,"Insurance",39,"Female","Other",0,0,0,0,1,661.254532590448,6.49413883772814,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.368421052631579,0.368421052631579,0.263157894736842,1,0,0,1,1
"65",65,"Insurance information",20,"Female","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.263157894736842,0,1,0,1,1
"66",66,"Insurance",25,"Female","Other",0,0,0,0,1,236.162333068017,5.46451942054699,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.842105263157895,0.684210526315789,1,0,0,1,1
"67",67,"Insurance",31,"Female","Other",0,0,0,1,1,346.371421833092,5.84751167280309,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.526315789473684,1,0,0,1,1
"68",68,"Insurance",31,"Female","Other",0,0,0,0,0,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.526315789473684,1,0,0,1,1
"69",69,"Insurance information",31,"Female","Other",0,0,0,0,1,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,0,1,0,1,1
"70",70,"Insurance",25,"Female","Akan",1,0,0,0,1,110.209088765075,4.70237936850009,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.526315789473684,1,0,0,1,1
"71",71,"Insurance information",27,"Male","Other",0,0,0,1,0,110.209088765075,4.70237936850009,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.789473684210526,0,1,0,0,1
"72",72,"Insurance information",48,"Female","Other",0,0,0,0,1,141.69739984081,4.953693796781,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.263157894736842,0,1,0,1,1
"73",73,"Insurance information",56,"Female","Other",0,0,0,0,1,661.254532590448,6.49413883772814,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.736842105263158,0.473684210526316,0,1,0,1,1
"74",74,"Insurance",37,"Male","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.263157894736842,1,0,0,0,1
"75",75,"Insurance",32,"Female","Other",0,0,0,0,1,236.162333068017,5.46451942054699,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.526315789473684,1,0,0,1,1
"76",76,"Insurance",39,"Female","Other",0,0,0,0,1,47.2324666136034,3.85508150811289,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.789473684210526,0.526315789473684,1,0,0,1,1
"77",77,"Insurance",44,"Female","Other",0,0,0,1,1,661.254532590448,6.49413883772814,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.526315789473684,0.473684210526316,1,0,0,1,1
"78",78,"Insurance information",34,"Male","Other",0,0,0,1,1,204.674021992282,5.32141857690631,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.263157894736842,0.263157894736842,0.263157894736842,0,1,0,0,1
"79",79,"Insurance",39,"Female","Other",0,0,0,0,1,236.162333068017,5.46451942054699,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.526315789473684,1,0,0,1,1
"80",80,"Insurance information",35,"Female","Other",0,0,0,0,1,236.162333068017,5.46451942054699,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.421052631578947,0.526315789473684,0.263157894736842,0,1,0,1,1
"81",81,"Insurance information",25,"Male","Other",0,0,0,0,0,141.69739984081,4.953693796781,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.526315789473684,0.736842105263158,0,1,0,0,1
"82",82,"Insurance",38,"Female","Other",0,0,0,1,1,598.277910438977,6.39405537917116,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.473684210526316,1,0,0,1,1
"83",83,"Insurance information",75,"Male","Other",0,0,0,0,0,15.7441555378678,2.75646921944478,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.894736842105263,1,0.894736842105263,0,1,0,0,1
"84",84,"Insurance",30,"Female","Ga Adangbe",0,0,1,0,1,346.371421833092,5.84751167280309,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.526315789473684,0.473684210526316,1,0,0,1,1
"85",85,"Insurance",28,"Female","Other",0,0,0,0,1,78.7207776893391,4.36590713187888,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.789473684210526,1,0,0,1,1
"86",86,"Insurance information",60,"Female","Other",0,0,0,0,0,299.138955219488,5.70090819861122,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.631578947368421,0.526315789473684,0.631578947368421,0,1,0,1,1
"87",87,"Insurance information",20,"Male","Other",0,0,0,0,0,0,0,1,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,1,0.789473684210526,0.736842105263158,0,1,0,0,1
"88",88,"Insurance",29,"Female","Other",0,0,0,0,1,141.69739984081,4.953693796781,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.263157894736842,1,0,0,1,1
"89",89,"Insurance",20,"Female","Other",0,0,0,0,1,141.69739984081,4.953693796781,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,1,0,0,1,1
"90",90,"Insurance",24,"Female","Other",0,0,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.210526315789474,1,0,0,1,1
"91",91,"Insurance",42,"Female","Other",0,0,0,0,0,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.631578947368421,0.263157894736842,1,0,0,1,1
"92",92,"Insurance",27,"Female","Akan",1,0,0,0,1,299.138955219488,5.70090819861122,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,1,0,0,1,1
"93",93,"Insurance",33,"Female","Other",0,0,0,1,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.736842105263158,1,0,0,1,1
"94",94,"Insurance",28,"Male","Other",0,0,0,0,1,236.162333068017,5.46451942054699,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.526315789473684,1,0,0,0,1
"95",95,"Insurance",26,"Female","Other",0,0,0,0,1,78.7207776893391,4.36590713187888,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.736842105263158,0.736842105263158,1,0,0,1,1
"96",96,"Insurance information",30,"Female","Other",0,0,0,0,1,204.674021992282,5.32141857690631,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.842105263157895,0.842105263157895,0.842105263157895,0,1,0,1,1
"97",97,"Insurance information",65,"Male","Other",0,0,0,0,0,535.301288287506,6.28282974406094,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.368421052631579,0.368421052631579,0.368421052631579,0,1,0,0,1
"98",98,"Insurance",44,"Female","Other",0,0,0,0,1,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.473684210526316,1,0,0,1,1
"99",99,"Insurance",45,"Female","Other",0,0,0,0,1,110.209088765075,4.70237936850009,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,1,0.473684210526316,1,0,0,1,1
"100",100,"Insurance information",31,"Female","Other",0,0,0,0,1,204.674021992282,5.32141857690631,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,0.526315789473684,0,1,0,1,1
"101",101,"Insurance",40,"Female","Other",0,0,0,0,1,299.138955219488,5.70090819861122,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.473684210526316,0.473684210526316,0.684210526315789,1,0,0,1,1
"102",102,"Insurance",26,"Female","Other",0,0,0,1,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.578947368421053,0.526315789473684,1,0,0,1,1
"103",103,"Insurance information",64,"Male","Other",0,0,0,0,1,299.138955219488,5.70090819861122,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.789473684210526,0.789473684210526,0.842105263157895,0,1,0,0,1
"104",104,"Insurance",29,"Male","Other",0,0,0,0,0,110.209088765075,4.70237936850009,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.263157894736842,0.473684210526316,0.736842105263158,1,0,0,0,1
"105",105,"Insurance information",25,"Male","Other",0,0,0,0,1,173.185710916546,5.15436449224315,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.684210526315789,0.736842105263158,0.736842105263158,0,1,0,0,1
"106",106,"Insurance",29,"Male","Other",0,0,0,1,1,598.277910438977,6.39405537917116,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.736842105263158,0.526315789473684,1,0,0,0,1
"107",107,"Insurance information",45,"Female","Other",0,0,0,0,1,236.162333068017,5.46451942054699,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.473684210526316,0,1,0,1,1
"108",108,"Insurance",24,"Male","Other",0,0,0,0,1,299.138955219488,5.70090819861122,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.473684210526316,0.473684210526316,1,0,0,0,1
"109",109,"Insurance information",19,"Female","Ewe",0,1,0,0,0,0,0,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.736842105263158,0.526315789473684,0.736842105263158,0,1,0,1,1
"110",110,"Insurance information",37,"Male","Other",0,0,0,1,1,236.162333068017,5.46451942054699,0,1,1,0,2,"AoG Grace","AoG Grace",1,0,0,0,0,0,0,0,0,0,0.526315789473684,0.736842105263158,0.526315789473684,0,1,0,0,1
