"pcode","session","treatment","age","gender","activity","birthplace","accra","married","ethnicity","education","left_ghana","left_ghana_location","work_status","work_sector","income_source","income_individual","income_household","financial_decisions","care_number_minor","care_live_minor","care_number_adult","care_live_adult","care_number_elderly_parent","care_live_elderly_parent","care_number_other_family","care_live_other_family","food_weekly","transport_weekly","weekly_expense_sickness","weekly_expense_social_contributions","weekly_expense_microfinance","weekly_expense_utilities","business_investment","business_ownership","business_length","business_employees","religion","religion_birth","denomination_other","different_church","church_assistance","church_attendance","ministry_hours_ushering","ministry_hours_children","ministry_hours_choir","ministry_hours_prayer","ministry_hours_women_men","ministry_hours_youth","ministry_hours_outreach","ministry_hours_deaconess","ministry_hours_protocol","ministry_hours_pastoring","ministry_hours_home_fellowship","church_length","church_distance","church_move","church_convince","pray","food","alcohol","alcohol_reasons","family_death","spiritual_attack","church_giving","tithes","church_debt","charity","god_finances","close_friends","coworkers","business_partners","prayercamp","clubs","political_taxes","spouse","trust_ghana","trust_ghana_govt","nih","nih_reason","other_insurance","other_insurance_specify","number_churches","last_church_attend","was_last_church_revival","event_donation","next_church_attend","next_revival","influence","enum_help","n_in_session","date","revival_assignment_raw","timesurvey","weekday","experiment_date","enum","enum_gender","enum_foreign","desk","population","revival","church_revival_start","church_revival_end","revival_church","date_experiment_date","was_revival_church_had_revival","was_revival","revival_compliance_type","revival_assignment","Tinsurance","Tnoinsurance","Tinsuranceinfo","church_code","higheducation","employed","ethnicity_akan","ethnicity_ewe","ethnicity_ga","ethnicity_other","married_d","church_weekly","church_daily","church_sevweekly","pray_multiple","any_insurance","tmonthlyincome","log_tmonthlyincome","tweeklyincome","wave","church_reasons_teaching","church_reasons_moral_guidance","church_reasons_atmosphere","church_reasons_friends","church_reasons_welcoming_members","church_reasons_interesting_congregation","church_reasons_marriage_partner","church_reasons_close_to_home","church_reasons_comfortable_facilities","newborn_traditional","newborn_church_blessing","newborn_baptism","newborn_outdooring","newborn_nothing","church_convince_preaching_in_church","church_convince_preaching_outside_church","church_convince_inviting","church_convince_distributing_material","church_convince_public_speaking","church_convince_prayer","help_financial_no_one","help_financial_government_or_ngo","help_financial_friends","help_financial_family","help_financial_imam","help_financial_work_superior","help_financial_bank","help_financial_other","help_family_no_one","help_family_government_or_ngo","help_family_friends","help_family_family","help_family_pastor","help_family_imam","help_family_church_member","help_family_work_superior","help_family_medical_professional","help_family_bank","help_family_other","help_health_no_one","help_health_government_or_ngo","help_health_friends","help_health_family","help_health_pastor","help_health_imam","help_health_church_member","help_health_work_superior","help_health_medical_professional","help_health_bank","help_health_other","help_financial_church_community","ministry_hours","high_ministry","choice_church_thanks","choice_church_street","choice_keep_church","choice_keep_thanks","choice_church_churchnamed","choice_churchnamed_thanks","choice_churchnamed_street","choice_street_thanks","choice_keep_churchnamed","choice_keep_street","work_status_other","work_sector_other","income_source_other","income_month_household","financial_decision_other","care_number_other_family_care","care_live_other_family_care","religion_other","church_reasons_other","church_reasons_other_details","clothing","newborn_5","newborn_other","family_death_other","help_family_other_details","help_financial_other_details","help_health_government_hospital","help_health_traditional_healer","help_health_other_details","political_affiliation","spouse_other","day","monthlyincome","market_help_3","decision_time","insurance","datetime","time","subjectidx","muslim","share","percent","high_giving","revival_Tinsurance","revival_Tnoinsurance","insurance_high","noinsurance_high","ethnicity_other_details","church_n_nonrevival","Dchurch1","Dchurch2","Dchurch3","Dchurch4","Dchurch5","Dchurch6","Dchurch7","Dchurch8","Dchurch9","Dchurch10","Dchurch20","Dchurch21","Dchurch30","church_name_raw","church_name_grouped","denomination_market","wave_endowment","wave_exchange_to_2019","cedi2019_choice_church_thanks","cedi2019_choice_church_street","cedi2019_choice_keep_church","cedi2019_choice_keep_thanks","cedi2019_choice_church_churchnamed","cedi2019_choice_churchnamed_thanks","cedi2019_choice_churchnamed_street","cedi2019_choice_street_thanks","cedi2019_choice_keep_churchnamed","cedi2019_choice_keep_street","giving_share","giving_quartile","high_giver","high_giver_church","high_giver_wave","church_ministry_children","church_ministry_choir","church_ministry_prayer","church_ministry_outreach","church_ministry_home_fellowship","church_ministry_all_ages","church_ministry_ushering_and_protocol","church_ministry_pastoring_or_deacon","ministry_count","changed_food_drink_religious","last_church_weekday","changed_church","always_church","gets_family_help_from_church","business_with_church","makes_friends_in_church","travels_more_than_hour","took_debt_for_church","moved_for_church","newborn_blessing_in_church","attended_prayercamp","believes_god_involved_in_finances","many_ministries","tries_to_convince_others","believes_spiritual_attack","charity_more_important","charity_less_important","received_assistance","is_married","has_nih","has_other_insurance","use_church_spiritually","use_church_financially","use_church_socially","costly_behaviour","use_church_network"
"928d1yuo",155,"Insurance",27,"Female","Private sector","Rural Ghana","5 to 10 years","Married","Ewe","JHSS","No","","Self-employed","Services","Entrepreneur","300 to 350","More than 1000","Joint decisions incl. me","3 people","3 people","0 people","0 people","0 people","0 people","0 people","0 people","More than 120","20 to 25","110 to 120","0","0","40 to 50","900 to 1000","Yes","1 to 3 years","0 employees","Pentecostal or charismatic Christian","No","Grace Assemblies of God","Yes, I changed within the last 5 years","Yes","More than once per week",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"3 to 5 hours","Less than 30 minutes","No","['2', '5']","Multiple times per day","No","No","No","Accident","No",7.87207776893391,"Yes","No","Yes, they are equally important","God provides enough that I do not suffer","No, it is not important at all","Yes, I try to seek work with people from my church or but it is not so important","No, it is not important at all","No","None","I prefer to give money directly to my church","Through friends","People can usually be trusted","I mostly mistrust the government","Yes","","No","",2,"Sunday","Yes","Yes","Wednesday","No","No","Yes",8,"2019-06-05","The person was assigned, but did not come during the assigned week.",1242,"Wednesday",50619,23,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-05",NA,FALSE,"defier",1,1,0,0,1,0,1,0,1,0,FALSE,1,1,0,1,1,1,204.674021992282,5.32141857690631,51.1685054980704,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0.473684210526316,0.315789473684211,0.736842105263158,0.578947368421053,0.473684210526316,0.473684210526316,0.263157894736842,0.736842105263158,0.736842105263158,0.736842105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,9,6,14,11,9,9,5,14,14,14,0.0384615384615385,3,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,1,0,1,0,FALSE,0,0,0,1,0,1,0,TRUE,0,0,0,1,1,1,0,0.829733966215544,0.342410916694863,0,0.111455643025079,0.145985087240568
"99kcfzey",154,"Insurance",20,"Female","Student","Rural Ghana","5 to 10 years","Single","Other","JHSS","No","","Student","Student","Family","50 to 100","450 to 500","Parent","0 people","0 people","0 people","0 people","0 people","0 people","0 people","0 people","10 to 15","0","0","0","0","0","0","No","","0 employees","Pentecostal or charismatic Christian","Yes","Grace Assemblies of God","I have always been in this church","No","Weekly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 to 5 hours","30 minutes to 1 hour","No","","Multiple times per day","No","No","No","Illness","No",1.57441555378678,"No","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek work with people from my church or but it is not so important","Yes, I try to do business with people from my church but it is not so important","No","None","I prefer to keep money for my own business","Other","People can usually be trusted","I always mistrust the government","Yes","","No","",1,"Sunday","Yes","No","Sunday","No","Yes","Yes",7,"2019-06-05","The person was not assigned to any session this week",1140,"Wednesday",50619,27,1,0,NA,"church",0,NA,NA,FALSE,"2019-06-05",NA,FALSE,"showed_up",NA,1,0,0,1,0,0,0,0,0,TRUE,0,1,0,0,1,1,47.2324666136034,3.85508150811289,11.8081166534009,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.526315789473684,0.526315789473684,1,1,1,0.526315789473684,0.526315789473684,0.473684210526316,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,10,10,19,19,19,10,10,9,19,19,0.0333333333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,1,0,1,FALSE,0,0,0,1,0,1,0,FALSE,0,0,0,0,0,1,0,0.720950490276617,0.272805478348318,0,0,0.0511256607662416
"9fneevzj",152,"Insurance information",49,"Female","Other","Rural Ghana","More than 10 years","Married","Other","No schooling","No","","Employed","Services","Salaried job","300 to 350","250 to 300","Joint decisions incl. me","1 people","1 people","2 people","2 people","1 people","0 people","1 people","1 people","100 to 110","15 to 20","More than 120","30 to 35","0","35 to 40","0","No","","","Pentecostal or charismatic Christian","No","Grace Assemblies of God","Yes, I changed more than 5 years ago","Yes","More than once per week",NA,NA,NA,2,1,NA,NA,NA,NA,NA,4,"1 to 3 hours","Less than 30 minutes","No","['1', '2', '5']","Multiple times per day","No","No","Yes","Illness","No",4.72324666136034,"Yes","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek work with people from my church or but it is not so important","Yes, I try to do business with people from my church but it is not so important","Yes","No Other club","I prefer to give money directly to my church","Through family","You usually cannot be too careful dealing with people","I mostly trust the government","Yes","","No","",1,"Sunday","Yes","Yes","Thursday","Yes","Yes","Yes",7,"2019-06-05","The person was assigned, but did not come during the assigned week.",941,"Wednesday",50619,33,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-05",NA,FALSE,"defier",1,0,0,1,1,0,1,0,0,0,TRUE,1,1,0,1,1,1,204.674021992282,5.32141857690631,51.1685054980704,2,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,7,1,0.526315789473684,0.473684210526316,0.736842105263158,0.526315789473684,0.526315789473684,0.473684210526316,0.473684210526316,0.526315789473684,0.526315789473684,0.526315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,10,9,14,10,10,9,9,10,10,10,0.0230769230769231,2,0,0,0,0,0,1,0,0,1,0,0,2,1,FALSE,1,0,1,1,FALSE,0,0,0,1,1,1,0,TRUE,0,0,0,1,1,1,0,0.891137282365842,1,0.660105455921358,0.202001800534994,0.772136146388221
"9hbnermx",176,"Insurance",50,"Female","Shopkeeper","Urban Ghana","More than 10 years","Married","Other","JHSS","No","","Self-employed","Services","Entrepreneur","100 to 150","350 to 400","Me","2 people","2 people","0 people","0 people","0 people","0 people","0 people","0 people","110 to 120","40 to 50","More than 120","0","0","0","More than 1000","Yes","1 to 3 years","0 employees","Pentecostal or charismatic Christian","No","Grace Assemblies of God","I have always been in this church","No","More than once per week",NA,NA,NA,1,1,NA,1,NA,NA,NA,1,"1 to 3 hours","More than 1 hour","No","['0', '1', '2', '3', '5']","Multiple times per day","No","No","No","Illness","No",29.9138955219488,"Yes","Yes","Yes, they are equally important","God blesses me with financial abundance","No, it is not important at all","No, it is not important at all","No, it is not important at all","No","None","I prefer to keep money for my own business","Through school","People can usually be trusted","I mostly mistrust the government","Yes","","No","",1,"Sunday","No","Yes","Wednesday","No","Yes","Yes",4,"2019-06-12","The person was not assigned to any session this week",1233,"Wednesday",120619,30,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-12",NA,FALSE,"showed_up",NA,1,0,0,1,0,1,0,0,0,TRUE,1,1,0,1,1,1,78.7207776893391,4.36590713187888,19.6801944223348,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0.526315789473684,0.736842105263158,0.894736842105263,0.736842105263158,1,0.526315789473684,0.473684210526316,0.736842105263158,0.789473684210526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,19,10,14,17,14,19,10,9,14,15,0.38,4,1,1,1,0,0,1,1,1,1,0,0,4,0,FALSE,0,1,1,0,FALSE,1,1,0,1,0,1,1,TRUE,0,0,0,0,1,1,0,0.829733966215544,0,0,0.654611223516832,0
"9pildqjm",153,"Insurance",23,"Female","Unemployed","Rural Ghana","More than 10 years","Single","Other","Primary","No","","Unemployed or casual worker","Unemployed","Family","200 to 250","500 to 600","Parent","1 people","0 people","0 people","0 people","0 people","0 people","0 people","0 people","40 to 50","5 to 10","90 to 100","0","0","0","0","No","","","Pentecostal or charismatic Christian","No","Grace Assemblies of God","Yes, I changed more than 5 years ago","No","More than once per week",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"1 to 3 hours","Less than 30 minutes","No","['2', '5']","Occasionally","No","No","No","Illness","No",7.87207776893391,"Yes","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek work with people from my church or but it is not so important","Yes, I try to do business with people from my church but it is not so important","No","No Other club","I prefer to keep money for my own business","Through school","You usually cannot be too careful dealing with people","I mostly mistrust the government","Yes","","No","",2,"Sunday","Yes","Yes","Sunday","Yes","Yes","No",7,"2019-06-05","The person was assigned, but did not come during the assigned week.",1040,"Wednesday",50619,33,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-05",NA,FALSE,"defier",1,1,0,0,1,0,0,0,0,0,TRUE,0,1,0,1,0,1,141.69739984081,4.953693796781,35.4243499602026,2,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4,0,0.421052631578947,0.473684210526316,0.526315789473684,0.526315789473684,0.526315789473684,0.526315789473684,0.473684210526316,0.526315789473684,0.578947368421053,0.473684210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,8,9,10,10,10,10,9,10,11,9,0.0555555555555556,3,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,FALSE,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,1,0,0.829733966215544,0.657589083305137,0,0.111455643025079,0.190112787640594
"9qnx9831",162,"No insurance",36,"Female","Private sector","Rural Ghana","More than 10 years","Single","Other","JHSS","No","","Self-employed","Services","Entrepreneur","250 to 300","More than 1000","Joint decisions incl. me","3 people","3 people","0 people","0 people","1 people","0 people","1 people","1 people","110 to 120","20 to 25","More than 120","15 to 20","25 to 30","30 to 35","600 to 700","Yes","3 to 10 years","0 employees","Pentecostal or charismatic Christian","Yes","Grace Assemblies of God","Yes, I changed more than 5 years ago","No","More than once per week",4,4,4,2,2,4,4,4,4,4,4,"3 to 5 hours","30 minutes to 1 hour","No","['1', '2']","Multiple times per day","No","No","No","Illness","No",4.72324666136034,"Yes","Yes","Yes, they are equally important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","No, it is not important at all","No","Women's ministry","I prefer to give money directly to my church","Through family","You usually cannot be too careful dealing with people","I always mistrust the government","Yes","","Yes","Life insurance",1,"Thursday","No","Yes","Sunday","No","Yes","Yes",9,"2019-06-06","Yes, the person was assigned  and came during the assigned week",1352,"Thursday",60619,29,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-06",NA,FALSE,"complier",0,0,1,0,1,0,1,0,0,0,TRUE,0,1,0,1,1,1,173.185710916546,5.15436449224315,43.2964277291365,2,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,1,0.526315789473684,0.526315789473684,0.473684210526316,0.526315789473684,0.473684210526316,0.526315789473684,0.526315789473684,0.473684210526316,0.473684210526316,0.526315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,10,10,9,10,9,10,10,9,9,10,0.0272727272727273,2,0,0,0,0,0,1,0,0,1,0,0,2,0,TRUE,1,0,1,0,FALSE,0,1,0,1,0,1,0,TRUE,0,0,0,0,0,1,1,0.829733966215544,0,0.660105455921358,0.254084517086122,0.43603827150706
"9qw4kc08",176,"Insurance",25,"Female","Other","Rural Ghana","2 to 5 years","Single","Other","SHS","No","","Unemployed or casual worker","Services","Entrepreneur","500 to 600","500 to 600","Me","0 people","0 people","0 people","0 people","0 people","0 people","0 people","0 people","60 to 70","15 to 20","0","15 to 20","0","5 to 10","Less than 50","Yes","Less than 1 year","0 employees","Pentecostal or charismatic Christian","No","Grace Assemblies of God","I have always been in this church","No","More than once per week",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"3 to 5 hours","Less than 30 minutes","No","['5']","Multiple times per day","No","No","No","Illness","No",1.57441555378678,"Yes","No","No, charity is more important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek work with people from my church or but it is not so important","Yes, I try to do business with people from my church but it is not so important","No","None","I prefer to give money directly to my church","Church","People can usually be trusted","I mostly mistrust the government","Yes","","No","",1,"Wednesday","No","No","Thursday","No","Yes","Yes",4,"2019-06-12","The person was assigned, but did not come during the assigned week.",1233,"Wednesday",120619,27,1,0,NA,"church",0,NA,NA,FALSE,"2019-06-12",NA,FALSE,"defier",1,1,0,0,1,0,0,0,0,0,TRUE,0,1,0,1,1,1,346.371421833092,5.84751167280309,86.592855458273,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.473684210526316,0.473684210526316,0.473684210526316,0.473684210526316,1,0.473684210526316,0.473684210526316,0.526315789473684,0.473684210526316,0.421052631578947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,9,9,9,9,19,9,9,10,9,8,0.00454545454545455,1,0,0,0,0,0,0,0,0,1,0,0,1,0,TRUE,0,1,1,1,FALSE,0,0,0,1,0,1,0,TRUE,0,1,0,0,0,1,0,0.720950490276617,0.272805478348318,0,0.111455643025079,0.0511256607662416
"9sz949yb",177,"Insurance",62,"Female","Other","Rural Ghana","More than 10 years","Married","Other","JHSS","No","","Retired","Unemployed","Pension","450 to 500","700 to 800","Me","4 people","1 people","1 people","0 people","1 people","0 people","0 people","0 people","More than 120","5 to 10","More than 120","0","0","30 to 35","0","No","","","Pentecostal or charismatic Christian","No","Grace Assemblies of God","Yes, I changed more than 5 years ago","No","Weekly",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"1 to 3 hours","30 minutes to 1 hour","No","['2']","Multiple times per day","Yes","No","Yes","Illness","No",4.72324666136034,"Yes","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek work with people from my church or but it is not so important","Yes, I try to do business with people from my church but it is not so important","No","None","I prefer to give money directly to my church","Through family","You always cannot be too careful dealing with people","I always mistrust the government","Yes","","No","",2,"Sunday","Yes","Yes","Sunday","No","No","Yes",9,"2019-06-12","Yes, the person was assigned  and came during the assigned week",1328,"Wednesday",120619,21,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-12",NA,FALSE,"complier",0,1,0,0,1,0,0,0,0,0,TRUE,1,1,0,0,1,1,299.138955219488,5.70090819861122,74.7847388048721,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.526315789473684,0.473684210526316,0.736842105263158,0.736842105263158,0.736842105263158,0.526315789473684,0.473684210526316,0.526315789473684,0.526315789473684,0.526315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,10,9,14,14,14,10,9,10,10,10,0.0157894736842105,1,0,0,0,0,0,0,0,0,1,0,0,1,1,FALSE,1,0,1,1,FALSE,0,0,0,1,0,1,0,TRUE,0,0,0,0,1,1,0,0.7931596911996,0.272805478348318,0,0.0905461575099153,0.0511256607662416
"9y3h49q4",145,"No insurance",61,"Male","Unemployed","Urban Ghana","More than 10 years","Married","Other","JHSS","No","","Unemployed or casual worker","Unemployed","Pension","More than 1000","More than 1000","Me","3 people","3 people","More than 5","1 people","0 people","0 people","3 people","0 people","More than 120","5 to 10","More than 120","5 to 10","40 to 50","40 to 50","0","No","","0 employees","Pentecostal or charismatic Christian","No","Other","I have always been in this church","No","More than once per week",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"more than 5 hours","30 minutes to 1 hour","No","['0', '2', '5']","Multiple times per day","No","No","No","Old age","No",17.3185710916546,"Yes","Yes","Yes, they are equally important","God provides enough that I do not suffer","No, it is not important at all","No, it is not important at all","Yes, I try to do business with people from my church but it is not so important","No","Kusasi Youth Association","Any government in power","Through friends","You always cannot be too careful dealing with people","I mostly trust the government","Yes","","No","",1,"Sunday","Yes","Yes","Wednesday","No","No","Yes",8,"2019-06-04","Yes, the person was assigned  and came during the assigned week",1003,"Tuesday",40619,32,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-04",NA,FALSE,"complier",0,0,1,0,1,0,0,0,0,0,TRUE,1,1,0,1,1,1,661.254532590448,6.49413883772814,165.313633147612,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0.526315789473684,0.473684210526316,0.368421052631579,0.368421052631579,0.473684210526316,0.631578947368421,0.473684210526316,0.526315789473684,0.368421052631579,0.473684210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Other",19,1,10,9,7,7,9,12,9,10,7,9,0.0261904761904762,2,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,0,1,1,1,FALSE,0,1,0,1,0,1,0,TRUE,0,0,0,0,1,1,0,0.829733966215544,0.272805478348318,0,0.254084517086122,0.0511256607662416
"a53o98nq",167,"Insurance",35,"Female","Private sector","Accra","Whole life","Single","Other","JHSS","No","","Self-employed","Services","Entrepreneur","150 to 200","150 to 200","Me","2 people","2 people","0 people","0 people","0 people","0 people","0 people","0 people","More than 120","25 to 30","More than 120","5 to 10","0","20 to 25","0","Yes","3 to 10 years","0 employees","Pentecostal or charismatic Christian","Yes","Grace Assemblies of God","I have always been in this church","Yes","More than once per week",4,4,4,4,2,4,4,4,4,4,1,"1 to 3 hours","30 minutes to 1 hour","No","['2', '3', '5']","Multiple times per day","No","No","No","Illness","No",4.72324666136034,"Yes","No","Yes, they are equally important","God provides enough that I do not suffer","Yes, I try to seek people from my church but it is not so important","Yes, I try to seek work with people from my church or but it is not so important","Yes, I try to do business with people from my church but it is not so important","Yes","Joy Ministry","I prefer to give money directly to my church","Church","People can usually be trusted","I mostly trust the government","Yes","","No","",1,"Sunday","No","Yes","Sunday","No","Yes","Yes",7,"2019-06-10","Yes, the person was assigned  and came during the assigned week",1149,"Monday",100619,29,0,0,NA,"church",0,NA,NA,FALSE,"2019-06-10",NA,FALSE,"complier",0,1,0,0,1,0,1,0,0,0,TRUE,0,1,0,1,1,1,110.209088765075,4.70237936850009,27.5522721912687,2,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,39,1,0.473684210526316,0.526315789473684,0.473684210526316,0.473684210526316,0.473684210526316,0.526315789473684,0.473684210526316,0.473684210526316,0.526315789473684,0.473684210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,1,0,0,0,0,0,0,0,0,0,0,0,0,"AoG Grace","AoG Grace","Grace Assemblies of God",19,1,9,10,9,9,9,10,9,9,10,9,0.0428571428571429,3,0,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,0,1,1,1,FALSE,0,0,0,0,1,1,0,TRUE,0,0,0,1,0,1,0,0.891137282365842,1,0.660105455921358,0.111455643025079,0.772136146388221
